f_boxer,s_boxer,f_boxer_result,f_boxer_age,f_boxer_height,f_boxer_reach,f_boxer_won,f_boxer_lost,f_boxer_KOs,f_boxer_ranking,s_boxer_age,s_boxer_height,s_boxer_reach,s_boxer_won,s_boxer_lost,s_boxer_KOs,s_boxer_ranking,matchRounds,fightEnd,winner
Wladimir Klitschko,Lamon Brewster,won,31,198,206.0,48,3,42,6,34,188.0,196.0,33,3,29,24,6.0,RTD,Wladimir Klitschko
Wladimir Klitschko,David Bostice,won,24,198,206.0,32,1,29,6,28,196.0,193.0,22,1,12,24,2.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Samuel Peter,won,34,198,206.0,54,3,47,6,30,188.0,196.0,34,3,27,7,0.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Chris Byrd,won,24,198,206.0,34,1,31,6,30,188.0,188.0,31,1,19,24,2.0,UD,Wladimir Klitschko
Wladimir Klitschko,Charles Shufford,won,25,198,206.0,36,1,32,6,28,191.0,203.0,17,1,9,24,6.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Mark Wills,won,21,198,206.0,6,0,5,6,36,185.0,188.0,14,17,9,24,1.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Hasim Rahman,won,32,198,206.0,51,3,44,6,36,189.0,208.0,45,6,36,24,7.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Zoran Vujicic,won,22,198,206.0,24,1,21,6,37,193.0,198.0,14,0,6,24,1.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Joseph Chingangu,won,23,198,206.0,27,1,24,6,32,192.0,198.0,18,4,13,24,4.0,RTD,Wladimir Klitschko
Wladimir Klitschko,Ruslan Chagaev,won,33,198,206.0,52,3,45,6,30,185.0,188.0,25,0,17,24,9.0,RTD,Wladimir Klitschko
